year,quartal,aktual,period,YLt - Yt,AT,Tt,St,Forecast,,,alpha ,0.01
2019,1,471,1,-279,,,5.75,,,,beta ,0.01
2019,2,331,2,-9,,,-134.25,,,,gamma,0.37
2019,3,221,3,468,,,-244.25,,,,,
2019,4,361,4,-158,,,-104.25,,,,,
2019,5,601,5,180,,,135.75,,,,,
2019,6,491,6,-324,,,25.75,,,,,
2019,7,762,7,-637,,,296.75,,,,,
2019,8,120,8,207,,,-345.25,,,,,
2019,9,848,9,-325,,,382.75,,,,,
2019,10,644,10,-245,,,178.75,,,,,
2019,11,170,11,-45,,,-295.25,,,,,
2019,12,563,12,-400,465.25,-10.88194444,97.75,,,,,
2020,1,192,13,,451.686875,-10.90875625,78.69873981,460.1180556,,,,
2020,2,322,14,,440.9328376,-10.90720906,38.59816735,446.5281188,,,,
2020,3,689,15,,435.0578722,-10.85688662,105.0695481,295.7756285,,,,
2020,4,203,16,,423.0314757,-10.86858172,13.45387524,179.9509856,,,,
2020,5,781,17,,414.4937651,-10.84527301,378.505251,307.912894,,,,
2020,6,167,18,,401.0245071,-10.87151286,82.03495976,539.3984921,,,,
2020,7,125,19,,384.5339643,-10.92770316,237.2457502,415.9029943,,,,
2020,8,327,20,,376.5926986,-10.89783879,-92.48529965,670.3562612,,,,
2020,9,523,21,,363.4404112,-10.92038327,438.6830418,20.44485977,,,,
2020,10,399,22,,351.1973276,-10.93361028,264.2879358,735.2700279,,,,
2020,11,125,23,,341.0635802,-10.92561165,-135.7150237,519.0137173,,,,
2020,12,163,24,,327.4890888,-10.95210044,125.9447772,34.88796853,,,,
2021,1,204,25,,314.6246311,-10.97122402,129.119559,414.2869884,,,,
2021,2,601,26,,306.2408914,-10.94534918,250.7366246,382.3521469,,,,
2021,3,106,27,,292.3518913,-10.97478568,109.474486,333.8937095,,,,
2021,4,544,28,,283.8687958,-10.94986878,213.8073928,386.4466536,,,,
2021,5,85,29,,267.2546852,-11.0065112,273.9807173,286.3728022,,,,
2021,6,420,30,,257.0653427,-10.99833951,211.1514103,634.753425,,,,
2021,7,521,31,,246.4438756,-10.99457079,346.3028138,328.1019629,,,,
2021,8,390,32,,237.9196648,-10.96986719,90.09311208,472.695055,,,,
2021,9,391,33,,224.2034692,-10.99733047,425.1093286,134.464498,,,,
2021,10,340,34,,211.831198,-11.01107988,296.3754991,651.8891805,,,,
2021,11,170,35,,201.8690672,-11.00059039,-18.53024648,465.1080539,,,,
2021,12,165,36,,189.3503442,-11.01577172,144.4710451,55.15345309,,,,
2022,1,180,37,,177.0600312,-11.02851713,152.0258735,304.2793497,,,,
2022,2,183,38,,163.6938327,-11.05189394,229.7632743,295.151073,,,,
2022,3,421,39,,154.2307745,-11.03600558,228.8222482,403.3785634,,,,
2022,4,140,40,,141.0247473,-11.0577058,190.5900086,252.6692549,,,,
2022,5,124,41,,127.1675639,-11.08570058,222.5895611,343.7744343,,,,
2022,6,150,42,,114.3095306,-11.1034239,192.6336553,390.0625806,,,,
2022,7,212,43,,100.8310175,-11.1271748,300.7278274,314.357517,,,,
2022,8,198,44,,89.88587314,-11.12535449,134.1350418,436.0066565,,,,
2022,9,182,45,,75.54182018,-11.15754148,339.2871674,168.8536307,,,,
2022,10,450,46,,65.27668093,-11.14861745,357.3415529,489.4936073,,,,
2022,11,230,47,,56.0720853,-11.12917724,77.54374029,350.5035626,,,,
2022,12,242,48,,45.46876853,-11.12391863,184.6726083,26.41266158,,,,
2023,1,267,49,,35.15114267,-11.1158557,198.6791669,178.815895,,,,
2023,2,219,50,,23.68730135,-11.11933556,229.8950169,176.0611605,,,,
2023,3,150,51,,11.65406365,-11.12847458,203.775552,242.3312401,,,,
2023,4,541,52,,4.024433093,-11.09348614,324.3462953,229.3478373,,,,
2023,5,694,53,,-2.284258129,-11.04563819,401.0983096,183.5209556,,,,
2023,6,801,54,,-7.11293391,-10.98346857,421.7930862,209.2596648,,,,
2023,7,602,55,,-14.90271673,-10.95153171,416.250598,174.5372528,,,,
2023,8,782,56,,-19.11705637,-10.88415979,377.8722154,274.8735789,,,,
2023,9,641,57,,-26.68407567,-10.85098838,454.9357811,104.1338256,,,,
2023,10,216,58,,-38.57312895,-10.86136903,309.0638849,301.7521033,,,,
2023,11,825,59,,-41.4655904,-10.78167996,358.091778,307.9070549,,,,
2023,12,302,60,,-50.55152374,-10.76472249,232.0666906,25.29646993,,,,
JUMLAH,,22288,,,,,,,,,,
2024,1,,61,,,,,137.3629207,,,,
,2,,62,,,,,229.8950169,,,,
,3,,63,,,,,203.775552,,,,
,4,,64,,,,,324.3462953,,,,
,5,,65,,,,,401.0983096,,,,
,6,,66,,,,,421.7930862,,,,
,7,,67,,,,,416.250598,,,,
,8,,68,,,,,377.8722154,,,,
,9,,69,,,,,454.9357811,,,,
,10,,70,,,,,309.0638849,,,,
,11,,71,,,,,358.091778,,,,
,12,,72,,,,,232.0666906,,,,
