Year;Periode;Aktual
2019;1;47
2019;2;3431
2019;3;921
2019;4;861
2019;5;60
2019;6;891
2019;7;762
2019;8;1204
2019;9;848
2019;10;644
2019;11;170
2019;12;563
2020;1;13792
2020;2;3,149
2020;3;689
2020;4;203
2020;5;78
2020;6;167
2020;7;125
2020;8;327
2020;9;52
2020;10;399
2020;11;125
2020;12;163
2021;1;20
2021;2;6021
2021;3;1066
2021;4;544
2021;5;85
2021;6;420
2021;7;5
2021;8;90
2021;9;39
2021;10;340
2021;11;70
2021;12;65
2022;1;8
2022;2;18347
2022;3;4,246
2022;4;140
2022;5;12
2022;6;150
2022;7;2
2022;8;19
2022;9;12
2022;10;450
2022;11;230
2022;12;24
2023;1;2675
2023;2;21
2023;3;150
2023;4;54
2023;5;69
2023;6;80
2023;7;60
2023;8;78
2023;9;64
2023;10;21
2023;11;82
2023;12;302
